Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
690970d6470995e643bd564a,5efe8c25e921d23a9daec079,APPROVED,Not Applicable,2025-11-04T03:19:55.491000Z,2025-11-04T04:03:29.770000Z,2025-11-14T21:20:17.164000Z,2025-11-04T04:03:30.206181Z,2615.0,CIFH4XG1,2202,English,31,Female,Black,United States,United States,United States,English,Yes,Full-Time
690970dc0b3d12d34b474b15,67f04718ef98a837eb7180bb,APPROVED,Not Applicable,2025-11-04T03:19:56.491000Z,2025-11-04T04:03:44.739000Z,2025-11-14T21:20:17.439000Z,2025-11-04T04:03:45.174304Z,2629.0,CIFH4XG1,950,English,27,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690970ddedbdac75cf11183d,67ef69e735fee402bbbbf23b,APPROVED,Not Applicable,2025-11-04T03:19:57.032000Z,2025-11-04T04:02:15.936000Z,2025-11-14T21:20:17.679000Z,2025-11-04T04:02:16.300183Z,2539.0,CIFH4XG1,1332,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6909713a632f1607a1b9bfa2,67ef32ae3b9945398e55b406,APPROVED,Not Applicable,2025-11-04T03:21:30.675000Z,2025-11-04T03:59:36.078000Z,2025-11-14T21:20:17.902000Z,2025-11-04T03:59:36.462376Z,2286.0,CIFH4XG1,1389,English,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69179d09e9a8b0fdeeebb78d,676d6b0a137e2c9c8e9fc347,APPROVED,Not Applicable,2025-11-14T21:20:13.265000Z,2025-11-14T21:35:58.455000Z,2025-11-16T14:23:53.682000Z,2025-11-14T21:35:58.824647Z,946.0,CIFH4XG1,4359,English,64,Male,White,United States,United States,United States,English,No,Full-Time
69179d0b331b7fd9ab6c8367,63617d0513b0cf392fd67e3e,APPROVED,Not Applicable,2025-11-14T21:20:11.873000Z,2025-11-14T22:04:43.493000Z,2025-11-16T14:23:51.701000Z,2025-11-14T22:04:43.871929Z,2672.0,CIFH4XG1,2010,English,42,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
69179d0bd80f508194833ff9,675df6122e621909f289e258,APPROVED,Not Applicable,2025-11-14T21:20:53.082000Z,2025-11-14T21:39:50.285000Z,2025-11-16T14:23:57.828000Z,2025-11-14T21:39:50.656183Z,1138.0,CIFH4XG1,2286,English,41,Male,White,United States,United States,United States,English,No,Full-Time
69179d0cb2d659dd11d55415,67246794a85893f571f01fcc,APPROVED,Not Applicable,2025-11-14T21:20:32.538000Z,2025-11-14T21:40:11.718000Z,2025-11-16T14:23:55.837000Z,2025-11-14T21:40:12.165131Z,1180.0,CIFH4XG1,5094,English,29,Female,White,United States,United States,United States,English,No,Full-Time
6917a9e752fbc7c08e5a3fdf,6712fc1608041fe311ca2221,APPROVED,Not Applicable,2025-11-14T22:15:59.706000Z,2025-11-14T22:38:40.976000Z,2025-11-16T14:23:59.841000Z,2025-11-14T22:38:41.528503Z,1362.0,CIFH4XG1.,919,"English, Spanish",31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f46fb360fb5c9fb9cf450b,5da640b9640c5d00133f384b,RETURNED,Not Applicable,2025-10-19T04:57:29.470000Z,,,,,,4816,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68f47272a129fdff7ea4330d,6287a355e0dbfe43e55850b7,RETURNED,Not Applicable,2025-10-19T05:09:06.047000Z,,,,,,7773,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68f4730446350bdb509b4fd9,5a791168f49c9a0001f31061,RETURNED,Not Applicable,2025-10-19T05:11:43.722000Z,,,,,,7905,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68f473cd117d1c9251028207,653703627539f3a8b2ed4af3,RETURNED,Not Applicable,2025-10-19T05:14:53.794000Z,,,,,,6301,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6906808bf1a06d5e1d320eaa,65ebbbc0a6328372037a40c1,RETURNED,Not Applicable,2025-11-01T21:51:51.496000Z,,,,,,3085,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690680ab1f27609ceb46c61d,5dccb82a76eab294aa4837ff,RETURNED,Not Applicable,2025-11-01T21:50:47.086000Z,,,,,,3715,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6909694cad1d4ce54ff11613,5c3a865019ceb400010c914a,RETURNED,Not Applicable,2025-11-04T02:47:45.014000Z,,,,,,11663,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69096968e949296b107fa40a,66a3279007dbdd4d6d3a64a7,RETURNED,Not Applicable,2025-11-04T02:49:25.060000Z,,,,,,2288,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690969772e94b66f9e5e14bf,66ccbb7d4109382e498e3c82,RETURNED,Not Applicable,2025-11-04T02:48:23.333000Z,,,,,,2998,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690969c1954f950f897f673e,6638e56cff7ec033bb449819,RETURNED,Not Applicable,2025-11-04T02:49:47.329000Z,,,,,,2418,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690969e8e472f9f470c721ac,667eb62db81d7cd5426c866d,RETURNED,Not Applicable,2025-11-04T02:56:36.606000Z,,,,,,3610,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69096b62d7a24963c9347dc4,6792c956f76b9027f9768491,RETURNED,Not Applicable,2025-11-04T02:56:42.074000Z,,,,,,1675,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69096c1ee69b83f2f42510b3,65639bc09216e3f40fcd1d4b,RETURNED,Not Applicable,2025-11-04T02:59:46.090000Z,,,,,,3346,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69096c1f25e8a01d8aa878fd,5e03f8517f08edece67a3137,RETURNED,Not Applicable,2025-11-04T02:59:49.946000Z,,,,,,4661,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690970ea0c2e7b84618fa9c8,66d9547a9df3044a616f2cfd,RETURNED,Not Applicable,2025-11-04T03:20:24.597000Z,,,,,,1693,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69179d0566710942575433f0,66ecc08c3776b48ca41138ac,RETURNED,Not Applicable,2025-11-14T21:20:09.182000Z,,,,,,3066,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69179da79f4616b7d9f3443d,6542923cf0793b2a3dc55d69,RETURNED,Not Applicable,2025-11-14T21:22:51.912000Z,,,,,,1091,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6917a5b11063f3ef6bca4897,5b9c2c816f92f30001ecce7a,RETURNED,Not Applicable,2025-11-14T21:57:09.644000Z,,,,,,4386,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6917a74e91ed8f44c21a6db2,66fe99edb8a87ffd9478d5c1,RETURNED,Not Applicable,2025-11-14T22:09:47.013000Z,,,,,,3620,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
